MatchCode,Format,Week,Time,Player,Result,n_matches,n_wins,n_losses,last_match,Score,weeks_in_league,team_league
KLR1065,KLR,1,2020-12-06T08:31:01Z,Karen W,Loss,5,2,3,FALSE,2-0,6,FALSE
KLR1066,KLR,1,2020-12-06T08:42:41Z,Miles B,Win,3,2,1,FALSE,2-0,6,FALSE
KLR1066,KLR,1,2020-12-06T08:42:41Z,Ben V,Loss,3,0,3,TRUE,2-0,6,FALSE
KLR1067,KLR,1,2020-12-06T09:30:32Z,Clayton H,Win,3,2,1,FALSE,2-0,6,FALSE
KLR1067,KLR,1,2020-12-06T09:30:32Z,Vincent T,Loss,5,1,4,FALSE,2-0,6,FALSE
KLR1068,KLR,1,2020-12-06T11:06:22Z,Miles B,Win,4,3,1,FALSE,2-0,6,FALSE
KLR1068,KLR,1,2020-12-06T11:06:22Z,Raleigh E,Loss,2,1,1,FALSE,2-0,6,FALSE
KLR1069,KLR,1,2020-12-06T13:02:01Z,Richard K,Win,3,3,0,FALSE,2-0,6,FALSE
KLR1069,KLR,1,2020-12-06T13:02:01Z,Alex D,Loss,5,1,4,FALSE,2-0,6,FALSE
KLR1070,KLR,1,2020-12-06T14:10:12Z,Francis C,Win,5,4,1,FALSE,2-0,6,FALSE
KLR1070,KLR,1,2020-12-06T14:10:12Z,Keith S,Loss,4,2,2,FALSE,2-0,6,FALSE
KLR1071,KLR,1,2020-12-06T15:56:09Z,Keith S,Win,5,3,2,FALSE,2-0,6,FALSE
KLR1071,KLR,1,2020-12-06T15:56:09Z,Ben W,Loss,3,0,3,FALSE,2-0,6,FALSE
KLR1072,KLR,1,2020-12-06T17:37:49Z,Sam M,Win,1,1,0,FALSE,2-0,6,FALSE
KLR1072,KLR,1,2020-12-06T17:37:49Z,Clayton H,Loss,4,2,2,FALSE,2-0,6,FALSE
KLR1073,KLR,1,2020-12-06T18:13:05Z,Evan C,Win,3,2,1,FALSE,2-1,6,FALSE
KLR1073,KLR,1,2020-12-06T18:13:05Z,Sam M,Loss,2,1,1,FALSE,2-1,6,FALSE
KLR1074,KLR,1,2020-12-06T19:58:10Z,Clayton H,Win,5,3,2,FALSE,2-1,6,FALSE
KLR1074,KLR,1,2020-12-06T19:58:10Z,Chris Y,Loss,4,1,3,FALSE,2-1,6,FALSE
KLR1075,KLR,1,2020-12-06T20:10:11Z,Amir H,Win,1,1,0,FALSE,2-1,6,FALSE
KLR1075,KLR,1,2020-12-06T20:10:11Z,Kevin O,Loss,3,1,2,FALSE,2-1,6,FALSE
KLR1076,KLR,1,2020-12-06T20:32:32Z,Johnny M,Win,4,4,0,FALSE,2-0,6,FALSE
KLR1076,KLR,1,2020-12-06T20:32:32Z,Amir H,Loss,2,1,1,FALSE,2-0,6,FALSE
KLR1077,KLR,1,2020-12-06T21:11:31Z,Evan C,Win,4,3,1,FALSE,2-1,6,FALSE
KLR1077,KLR,1,2020-12-06T21:11:31Z,Hank A,Loss,1,0,1,FALSE,2-1,6,FALSE
KLR1078,KLR,1,2020-12-07T07:32:11Z,Francesco V,Win,1,1,0,FALSE,2-0,6,FALSE
KLR1078,KLR,1,2020-12-07T07:32:11Z,Sam M,Loss,3,1,2,FALSE,2-0,6,FALSE
KLR1079,KLR,1,2020-12-07T10:11:51Z,Francesco V,Win,2,2,0,FALSE,2-1,6,FALSE
KLR1079,KLR,1,2020-12-07T10:11:51Z,Raleigh E,Loss,3,1,2,FALSE,2-1,6,FALSE
KLR1080,KLR,1,2020-12-07T11:58:12Z,Derek G,Win,5,2,3,FALSE,2-0,6,FALSE
KLR1080,KLR,1,2020-12-07T11:58:12Z,Ben A,Loss,1,0,1,FALSE,2-0,6,FALSE
KLR1081,KLR,1,2020-12-07T13:35:44Z,Chris Y,Win,5,2,3,FALSE,2-0,6,FALSE
KLR1081,KLR,1,2020-12-07T13:35:44Z,Ben A,Loss,2,0,2,FALSE,2-0,6,FALSE
KLR1082,KLR,1,2020-12-07T13:42:45Z,Sam M,Win,4,2,2,FALSE,2-0,6,FALSE
KLR1082,KLR,1,2020-12-07T13:42:45Z,Jesse R,Loss,5,2,3,FALSE,2-0,6,FALSE
KLR1083,KLR,1,2020-12-07T15:31:41Z,Serge T,Win,3,2,1,FALSE,2-1,6,FALSE
KLR1083,KLR,1,2020-12-07T15:31:41Z,Gabe C,Loss,3,0,3,FALSE,2-1,6,FALSE
KLR1084,KLR,1,2020-12-07T16:04:51Z,Evan W,Win,4,1,3,FALSE,2-0,6,FALSE
KLR1084,KLR,1,2020-12-07T16:04:51Z,Kevin O,Loss,4,1,3,FALSE,2-0,6,FALSE
KLR1085,KLR,1,2020-12-07T16:30:41Z,Gabe C,Win,4,1,3,FALSE,2-0,6,FALSE
KLR1085,KLR,1,2020-12-07T16:30:41Z,Shawn R,Loss,5,3,2,FALSE,2-0,6,FALSE
KLR1086,KLR,1,2020-12-07T19:26:56Z,Justin P,Win,2,2,0,FALSE,2-0,6,FALSE
KLR1086,KLR,1,2020-12-07T19:26:56Z,Sam W,Loss,1,0,1,FALSE,2-0,6,FALSE
KLR1087,KLR,1,2020-12-07T20:11:32Z,Johnny M,Win,5,5,0,FALSE,2-0,6,FALSE
KLR1087,KLR,1,2020-12-07T20:11:32Z,Justin P,Loss,3,2,1,FALSE,2-0,6,FALSE
KLR1088,KLR,1,2020-12-07T20:25:47Z,Gordon C,Win,5,4,1,FALSE,2-1,6,FALSE
KLR1088,KLR,1,2020-12-07T20:25:47Z,Sam W,Loss,2,0,2,FALSE,2-1,6,FALSE
KLR1089,KLR,1,2020-12-07T21:17:58Z,Evan C,Win,5,4,1,FALSE,2-0,6,FALSE
KLR1089,KLR,1,2020-12-07T21:17:58Z,Sam W,Loss,3,0,3,FALSE,2-0,6,FALSE
KLR1090,KLR,1,2020-12-07T21:25:19Z,Eric O,Win,3,3,0,FALSE,2-1,6,FALSE
KLR1090,KLR,1,2020-12-07T21:25:19Z,Evan W,Loss,5,1,4,FALSE,2-1,6,FALSE
KLR1091,KLR,1,2020-12-07T22:04:28Z,Sam W,Win,4,1,3,FALSE,2-1,6,FALSE
KLR1091,KLR,1,2020-12-07T22:04:28Z,Eric O,Loss,4,3,1,FALSE,2-1,6,FALSE
KLR1092,KLR,1,2020-12-08T10:07:39Z,Raleigh E,Win,4,2,2,FALSE,2-1,6,FALSE
KLR1092,KLR,1,2020-12-08T10:07:39Z,Ben A,Loss,3,0,3,FALSE,2-1,6,FALSE
KLR1093,KLR,1,2020-12-08T10:09:13Z,Christian W,Win,5,3,2,FALSE,2-0,6,FALSE
KLR1093,KLR,1,2020-12-08T10:09:13Z,Raleigh E,Loss,5,2,3,FALSE,2-0,6,FALSE
KLR1094,KLR,1,2020-12-08T11:27:52Z,Gabe C,Win,5,2,3,FALSE,2-1,6,FALSE
KLR1094,KLR,1,2020-12-08T11:27:52Z,Ben A,Loss,4,0,4,FALSE,2-1,6,FALSE
KLR1095,KLR,1,2020-12-08T11:52:36Z,Ben A,Win,5,1,4,FALSE,2-0,6,FALSE
KLR1095,KLR,1,2020-12-08T11:52:36Z,Nicolas D,Loss,1,0,1,FALSE,2-0,6,FALSE
KLR1096,KLR,1,2020-12-08T12:48:01Z,Tia T,Win,3,2,1,FALSE,2-1,6,FALSE
KLR1096,KLR,1,2020-12-08T12:48:01Z,Nicolas D,Loss,2,0,2,FALSE,2-1,6,FALSE
KLR1097,KLR,1,2020-12-08T14:41:00Z,Serge T,Win,4,3,1,FALSE,2-1,6,FALSE
KLR1097,KLR,1,2020-12-08T14:41:00Z,Hank A,Loss,2,0,2,FALSE,2-1,6,FALSE
KLR1098,KLR,1,2020-12-08T15:20:24Z,Brice C,Win,3,2,1,FALSE,2-0,6,FALSE
KLR1098,KLR,1,2020-12-08T15:20:24Z,Richard K,Loss,4,3,1,FALSE,2-0,6,FALSE
KLR1099,KLR,1,2020-12-09T07:25:23Z,Tia T,Win,4,3,1,FALSE,2-0,6,FALSE
KLR1099,KLR,1,2020-12-09T07:25:23Z,James B,Loss,1,0,1,FALSE,2-0,6,FALSE
KLR1100,KLR,1,2020-12-09T13:11:27Z,Richard K,Win,5,4,1,FALSE,2-0,6,FALSE
KLR1100,KLR,1,2020-12-09T13:11:27Z,Francesco V,Loss,3,2,1,FALSE,2-0,6,FALSE
KLR1101,KLR,1,2020-12-09T16:40:44Z,Ben W,Win,4,1,3,FALSE,2-0,6,FALSE
KLR1101,KLR,1,2020-12-09T16:40:44Z,James B,Loss,2,0,2,FALSE,2-0,6,FALSE
KLR1102,KLR,1,2020-12-09T16:48:42Z,Cameron K,Win,1,1,0,FALSE,2-0,6,FALSE
KLR1102,KLR,1,2020-12-09T16:48:42Z,Paul S,Loss,2,1,1,FALSE,2-0,6,FALSE
KLR1103,KLR,1,2020-12-09T17:18:35Z,Eric O,Win,5,4,1,FALSE,2-1,6,FALSE
KLR1103,KLR,1,2020-12-09T17:18:35Z,James B,Loss,3,0,3,FALSE,2-1,6,FALSE
KLR1104,KLR,1,2020-12-09T17:50:22Z,Paul S,Win,3,2,1,FALSE,2-0,6,FALSE
KLR1104,KLR,1,2020-12-09T17:50:22Z,Ben W,Loss,5,1,4,FALSE,2-0,6,FALSE
KLR1105,KLR,1,2020-12-10T00:29:00Z,Tia T,Win,5,4,1,FALSE,2-1,6,FALSE
KLR1105,KLR,1,2020-12-10T00:29:00Z,Kosta F,Loss,1,0,1,FALSE,2-1,6,FALSE
KLR1106,KLR,1,2020-12-10T01:31:45Z,Francesco V,Win,4,3,1,FALSE,2-0,6,FALSE
KLR1106,KLR,1,2020-12-10T01:31:45Z,Kosta F,Loss,2,0,2,FALSE,2-0,6,FALSE
KLR1107,KLR,1,2020-12-10T10:55:08Z,Nicolas D,Win,3,1,2,FALSE,2-1,6,FALSE
KLR1107,KLR,1,2020-12-10T10:55:08Z,Sam M,Loss,5,2,3,FALSE,2-1,6,FALSE
KLR1108,KLR,1,2020-12-10T13:26:41Z,Serge T,Win,5,4,1,FALSE,2-0,6,FALSE
KLR1108,KLR,1,2020-12-10T13:26:41Z,Cameron K,Loss,2,1,1,FALSE,2-0,6,FALSE
KLR1109,KLR,1,2020-12-10T15:04:30Z,Brice C,Win,4,3,1,FALSE,2-1,6,FALSE
KLR1109,KLR,1,2020-12-10T15:04:30Z,Nicolas D,Loss,4,1,3,FALSE,2-1,6,FALSE
KLR1110,KLR,1,2020-12-10T17:22:00Z,Paul S,Win,4,3,1,FALSE,2-0,6,FALSE
KLR1110,KLR,1,2020-12-10T17:22:00Z,Alex L,Loss,1,0,1,FALSE,2-0,6,FALSE
KLR1111,KLR,1,2020-12-10T17:56:50Z,Robert W,Win,1,1,0,FALSE,2-1,6,FALSE
KLR1111,KLR,1,2020-12-10T17:56:50Z,Sam W,Loss,5,1,4,FALSE,2-1,6,FALSE
KLR1112,KLR,1,2020-12-10T18:18:50Z,Alex L,Win,2,1,1,FALSE,2-0,6,FALSE
KLR1112,KLR,1,2020-12-10T18:18:50Z,Miles B,Loss,5,3,2,FALSE,2-0,6,FALSE
KLR1113,KLR,1,2020-12-10T19:15:22Z,Amir H,Win,3,2,1,FALSE,2-1,6,FALSE
KLR1113,KLR,1,2020-12-10T19:15:22Z,Paul S,Loss,5,3,2,FALSE,2-1,6,FALSE
